"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1995",51.0960595074837,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1996",50.7783498158736,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1997",51.0987951953117,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1998",51.7943218859921,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","1999",50.8401456570292,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2000",47.5022519941085,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2001",45.6547691822963,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2002",44.9466125804292,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2003",43.6083910978919,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2004",42.5699446844187,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2005",43.2057123022035,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2006",42.4351069414333,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2007",42.6948534874707,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2008",41.9317647093981,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2009",57.5300574922939,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2010",61.7108896228221,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2011",69.958945396101,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2012",78.7734410211881,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2013",77.6697695256832,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2014",79.4987408134064,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2015",85.729308663771,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2016",89.1280160329191,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2017",88.5797325163471,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2018",85.1702970083495,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2019",93.0093987940394,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2020",91.3881138752216,
"IRL","GFCFSECTOR","CORP","PC_GFCF","A","2021",84.7271818284956,
