"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INDPROD","TOT","IDX2015","A","1975",32.56587,
"AUS","INDPROD","TOT","IDX2015","A","1976",34.15041,
"AUS","INDPROD","TOT","IDX2015","A","1977",34.36268,
"AUS","INDPROD","TOT","IDX2015","A","1978",34.90993,
"AUS","INDPROD","TOT","IDX2015","A","1979",36.78525,
"AUS","INDPROD","TOT","IDX2015","A","1980",37.33297,
"AUS","INDPROD","TOT","IDX2015","A","1981",38.48008,
"AUS","INDPROD","TOT","IDX2015","A","1982",38.18129,
"AUS","INDPROD","TOT","IDX2015","A","1983",36.72123,
"AUS","INDPROD","TOT","IDX2015","A","1984",39.17439,
"AUS","INDPROD","TOT","IDX2015","A","1985",41.4235,
"AUS","INDPROD","TOT","IDX2015","A","1986",41.02728,
"AUS","INDPROD","TOT","IDX2015","A","1987",44.18565,
"AUS","INDPROD","TOT","IDX2015","A","1988",47.60936,
"AUS","INDPROD","TOT","IDX2015","A","1989",49.33942,
"AUS","INDPROD","TOT","IDX2015","A","1990",51.27759,
"AUS","INDPROD","TOT","IDX2015","A","1991",51.09973,
"AUS","INDPROD","TOT","IDX2015","A","1992",51.43092,
"AUS","INDPROD","TOT","IDX2015","A","1993",52.81977,
"AUS","INDPROD","TOT","IDX2015","A","1994",55.45277,
"AUS","INDPROD","TOT","IDX2015","A","1995",57.30751,
"AUS","INDPROD","TOT","IDX2015","A","1996",59.77264,
"AUS","INDPROD","TOT","IDX2015","A","1997",60.64016,
"AUS","INDPROD","TOT","IDX2015","A","1998",62.54466,
"AUS","INDPROD","TOT","IDX2015","A","1999",63.23818,
"AUS","INDPROD","TOT","IDX2015","A","2000",67.22468,
"AUS","INDPROD","TOT","IDX2015","A","2001",68.24902,
"AUS","INDPROD","TOT","IDX2015","A","2002",69.94434,
"AUS","INDPROD","TOT","IDX2015","A","2003",69.70762,
"AUS","INDPROD","TOT","IDX2015","A","2004",70.47881,
"AUS","INDPROD","TOT","IDX2015","A","2005",72.09815,
"AUS","INDPROD","TOT","IDX2015","A","2006",73.70348,
"AUS","INDPROD","TOT","IDX2015","A","2007",76.62813,
"AUS","INDPROD","TOT","IDX2015","A","2008",79.14631,
"AUS","INDPROD","TOT","IDX2015","A","2009",79.15707,
"AUS","INDPROD","TOT","IDX2015","A","2010",82.79095,
"AUS","INDPROD","TOT","IDX2015","A","2011",83.74354,
"AUS","INDPROD","TOT","IDX2015","A","2012",87.60314,
"AUS","INDPROD","TOT","IDX2015","A","2013",91.08038,
"AUS","INDPROD","TOT","IDX2015","A","2014",96.80706,
"AUS","INDPROD","TOT","IDX2015","A","2015",100,
"AUS","INDPROD","TOT","IDX2015","A","2016",102.7362,
"AUS","INDPROD","TOT","IDX2015","A","2017",104.323,
"AUS","INDPROD","TOT","IDX2015","A","2018",108.8554,
"AUS","INDPROD","TOT","IDX2015","A","2019",111.6738,
"AUS","INDPROD","TOT","IDX2015","A","2020",110.6303,
"AUS","INDPROD","TOT","IDX2015","A","2021",110.3463,
"AUS","INDPROD","TOT","IDX2015","A","2022",109.4763,
"AUT","INDPROD","TOT","IDX2015","A","1955",10.86353,
"AUT","INDPROD","TOT","IDX2015","A","1956",11.41698,
"AUT","INDPROD","TOT","IDX2015","A","1957",12.06179,
"AUT","INDPROD","TOT","IDX2015","A","1958",12.3681,
"AUT","INDPROD","TOT","IDX2015","A","1959",13.08601,
"AUT","INDPROD","TOT","IDX2015","A","1960",14.46788,
"AUT","INDPROD","TOT","IDX2015","A","1961",15.047,
"AUT","INDPROD","TOT","IDX2015","A","1962",15.45294,
"AUT","INDPROD","TOT","IDX2015","A","1963",16.17521,
"AUT","INDPROD","TOT","IDX2015","A","1964",17.42829,
"AUT","INDPROD","TOT","IDX2015","A","1965",18.19276,
"AUT","INDPROD","TOT","IDX2015","A","1966",19.03641,
"AUT","INDPROD","TOT","IDX2015","A","1967",19.18478,
"AUT","INDPROD","TOT","IDX2015","A","1968",20.6119,
"AUT","INDPROD","TOT","IDX2015","A","1969",22.93272,
"AUT","INDPROD","TOT","IDX2015","A","1970",24.95723,
"AUT","INDPROD","TOT","IDX2015","A","1971",26.49922,
"AUT","INDPROD","TOT","IDX2015","A","1972",28.60422,
"AUT","INDPROD","TOT","IDX2015","A","1973",30.04527,
"AUT","INDPROD","TOT","IDX2015","A","1974",31.52678,
"AUT","INDPROD","TOT","IDX2015","A","1975",29.56753,
"AUT","INDPROD","TOT","IDX2015","A","1976",31.24483,
"AUT","INDPROD","TOT","IDX2015","A","1977",32.45919,
"AUT","INDPROD","TOT","IDX2015","A","1978",33.36332,
"AUT","INDPROD","TOT","IDX2015","A","1979",35.87993,
"AUT","INDPROD","TOT","IDX2015","A","1980",36.8328,
"AUT","INDPROD","TOT","IDX2015","A","1981",36.20756,
"AUT","INDPROD","TOT","IDX2015","A","1982",35.99219,
"AUT","INDPROD","TOT","IDX2015","A","1983",36.30111,
"AUT","INDPROD","TOT","IDX2015","A","1984",38.19944,
"AUT","INDPROD","TOT","IDX2015","A","1985",39.99726,
"AUT","INDPROD","TOT","IDX2015","A","1986",40.41322,
"AUT","INDPROD","TOT","IDX2015","A","1987",40.80437,
"AUT","INDPROD","TOT","IDX2015","A","1988",42.5687,
"AUT","INDPROD","TOT","IDX2015","A","1989",45.10358,
"AUT","INDPROD","TOT","IDX2015","A","1990",48.32243,
"AUT","INDPROD","TOT","IDX2015","A","1991",49.15478,
"AUT","INDPROD","TOT","IDX2015","A","1992",48.56783,
"AUT","INDPROD","TOT","IDX2015","A","1993",47.77639,
"AUT","INDPROD","TOT","IDX2015","A","1994",49.68603,
"AUT","INDPROD","TOT","IDX2015","A","1995",52.21178,
"AUT","INDPROD","TOT","IDX2015","A","1996",52.72519,
"AUT","INDPROD","TOT","IDX2015","A","1997",56.07999,
"AUT","INDPROD","TOT","IDX2015","A","1998",60.61925,
"AUT","INDPROD","TOT","IDX2015","A","1999",64.24792,
"AUT","INDPROD","TOT","IDX2015","A","2000",70.08801,
"AUT","INDPROD","TOT","IDX2015","A","2001",72.21729,
"AUT","INDPROD","TOT","IDX2015","A","2002",72.70339,
"AUT","INDPROD","TOT","IDX2015","A","2003",74.18224,
"AUT","INDPROD","TOT","IDX2015","A","2004",78.80366,
"AUT","INDPROD","TOT","IDX2015","A","2005",82.1927,
"AUT","INDPROD","TOT","IDX2015","A","2006",88.56682,
"AUT","INDPROD","TOT","IDX2015","A","2007",93.53741,
"AUT","INDPROD","TOT","IDX2015","A","2008",95.34489,
"AUT","INDPROD","TOT","IDX2015","A","2009",84.71906,
"AUT","INDPROD","TOT","IDX2015","A","2010",90.61674,
"AUT","INDPROD","TOT","IDX2015","A","2011",95.99155,
"AUT","INDPROD","TOT","IDX2015","A","2012",97.53906,
"AUT","INDPROD","TOT","IDX2015","A","2013",97.94671,
"AUT","INDPROD","TOT","IDX2015","A","2014",97.91651,
"AUT","INDPROD","TOT","IDX2015","A","2015",100,
"AUT","INDPROD","TOT","IDX2015","A","2016",102.5333,
"AUT","INDPROD","TOT","IDX2015","A","2017",107.7167,
"AUT","INDPROD","TOT","IDX2015","A","2018",112.8333,
"AUT","INDPROD","TOT","IDX2015","A","2019",113.2083,
"AUT","INDPROD","TOT","IDX2015","A","2020",106.9167,
"AUT","INDPROD","TOT","IDX2015","A","2021",117.775,
"AUT","INDPROD","TOT","IDX2015","A","2022",125.7833,
"BEL","INDPROD","TOT","IDX2015","A","1955",21.97012,
"BEL","INDPROD","TOT","IDX2015","A","1956",23.36297,
"BEL","INDPROD","TOT","IDX2015","A","1957",23.26198,
"BEL","INDPROD","TOT","IDX2015","A","1958",22.26047,
"BEL","INDPROD","TOT","IDX2015","A","1959",23.2704,
"BEL","INDPROD","TOT","IDX2015","A","1960",24.87366,
"BEL","INDPROD","TOT","IDX2015","A","1961",26.45587,
"BEL","INDPROD","TOT","IDX2015","A","1962",27.94551,
"BEL","INDPROD","TOT","IDX2015","A","1963",30.16735,
"BEL","INDPROD","TOT","IDX2015","A","1964",31.96839,
"BEL","INDPROD","TOT","IDX2015","A","1965",32.7595,
"BEL","INDPROD","TOT","IDX2015","A","1966",33.42016,
"BEL","INDPROD","TOT","IDX2015","A","1967",33.98824,
"BEL","INDPROD","TOT","IDX2015","A","1968",35.87344,
"BEL","INDPROD","TOT","IDX2015","A","1969",39.38714,
"BEL","INDPROD","TOT","IDX2015","A","1970",40.55277,
"BEL","INDPROD","TOT","IDX2015","A","1971",41.26813,
"BEL","INDPROD","TOT","IDX2015","A","1972",44.37366,
"BEL","INDPROD","TOT","IDX2015","A","1973",47.06996,
"BEL","INDPROD","TOT","IDX2015","A","1974",49.01355,
"BEL","INDPROD","TOT","IDX2015","A","1975",44.22865,
"BEL","INDPROD","TOT","IDX2015","A","1976",47.6483,
"BEL","INDPROD","TOT","IDX2015","A","1977",47.86203,
"BEL","INDPROD","TOT","IDX2015","A","1978",49.03099,
"BEL","INDPROD","TOT","IDX2015","A","1979",51.23806,
"BEL","INDPROD","TOT","IDX2015","A","1980",50.60124,
"BEL","INDPROD","TOT","IDX2015","A","1981",49.20547,
"BEL","INDPROD","TOT","IDX2015","A","1982",49.19238,
"BEL","INDPROD","TOT","IDX2015","A","1983",50.14761,
"BEL","INDPROD","TOT","IDX2015","A","1984",51.41254,
"BEL","INDPROD","TOT","IDX2015","A","1985",52.68182,
"BEL","INDPROD","TOT","IDX2015","A","1986",53.10056,
"BEL","INDPROD","TOT","IDX2015","A","1987",54.23462,
"BEL","INDPROD","TOT","IDX2015","A","1988",57.40129,
"BEL","INDPROD","TOT","IDX2015","A","1989",59.36846,
"BEL","INDPROD","TOT","IDX2015","A","1990",61.19147,
"BEL","INDPROD","TOT","IDX2015","A","1991",60.00388,
"BEL","INDPROD","TOT","IDX2015","A","1992",59.76233,
"BEL","INDPROD","TOT","IDX2015","A","1993",56.70275,
"BEL","INDPROD","TOT","IDX2015","A","1994",57.88532,
"BEL","INDPROD","TOT","IDX2015","A","1995",61.62424,
"BEL","INDPROD","TOT","IDX2015","A","1996",61.94127,
"BEL","INDPROD","TOT","IDX2015","A","1997",64.82975,
"BEL","INDPROD","TOT","IDX2015","A","1998",67.01875,
"BEL","INDPROD","TOT","IDX2015","A","1999",67.61758,
"BEL","INDPROD","TOT","IDX2015","A","2000",71.23573,
"BEL","INDPROD","TOT","IDX2015","A","2001",74.3688,
"BEL","INDPROD","TOT","IDX2015","A","2002",74.61045,
"BEL","INDPROD","TOT","IDX2015","A","2003",75.76868,
"BEL","INDPROD","TOT","IDX2015","A","2004",81.14323,
"BEL","INDPROD","TOT","IDX2015","A","2005",83.87634,
"BEL","INDPROD","TOT","IDX2015","A","2006",88.94259,
"BEL","INDPROD","TOT","IDX2015","A","2007",95.98367,
"BEL","INDPROD","TOT","IDX2015","A","2008",99.88335,
"BEL","INDPROD","TOT","IDX2015","A","2009",88.65928,
"BEL","INDPROD","TOT","IDX2015","A","2010",96.99192,
"BEL","INDPROD","TOT","IDX2015","A","2011",101.5082,
"BEL","INDPROD","TOT","IDX2015","A","2012",99.81668,
"BEL","INDPROD","TOT","IDX2015","A","2013",99.31673,
"BEL","INDPROD","TOT","IDX2015","A","2014",100.6666,
"BEL","INDPROD","TOT","IDX2015","A","2015",100,
"BEL","INDPROD","TOT","IDX2015","A","2016",104.4746,
"BEL","INDPROD","TOT","IDX2015","A","2017",107.2411,
"BEL","INDPROD","TOT","IDX2015","A","2018",108.6993,
"BEL","INDPROD","TOT","IDX2015","A","2019",113.9572,
"BEL","INDPROD","TOT","IDX2015","A","2020",109.9492,
"BEL","INDPROD","TOT","IDX2015","A","2021",128.4893,
"BEL","INDPROD","TOT","IDX2015","A","2022",127.2061,
"CAN","INDPROD","TOT","IDX2015","A","1961",22.9611,
"CAN","INDPROD","TOT","IDX2015","A","1962",25.23723,
"CAN","INDPROD","TOT","IDX2015","A","1963",26.86283,
"CAN","INDPROD","TOT","IDX2015","A","1964",29.5358,
"CAN","INDPROD","TOT","IDX2015","A","1965",32.15962,
"CAN","INDPROD","TOT","IDX2015","A","1966",34.22363,
"CAN","INDPROD","TOT","IDX2015","A","1967",35.30548,
"CAN","INDPROD","TOT","IDX2015","A","1968",37.83057,
"CAN","INDPROD","TOT","IDX2015","A","1969",40.2763,
"CAN","INDPROD","TOT","IDX2015","A","1970",39.80293,
"CAN","INDPROD","TOT","IDX2015","A","1971",42.02851,
"CAN","INDPROD","TOT","IDX2015","A","1972",45.72615,
"CAN","INDPROD","TOT","IDX2015","A","1973",50.94594,
"CAN","INDPROD","TOT","IDX2015","A","1974",51.69095,
"CAN","INDPROD","TOT","IDX2015","A","1975",47.87803,
"CAN","INDPROD","TOT","IDX2015","A","1976",50.99743,
"CAN","INDPROD","TOT","IDX2015","A","1977",52.79216,
"CAN","INDPROD","TOT","IDX2015","A","1978",55.01396,
"CAN","INDPROD","TOT","IDX2015","A","1979",57.69212,
"CAN","INDPROD","TOT","IDX2015","A","1980",55.88274,
"CAN","INDPROD","TOT","IDX2015","A","1981",56.21013,
"CAN","INDPROD","TOT","IDX2015","A","1982",51.7585,
"CAN","INDPROD","TOT","IDX2015","A","1983",54.47871,
"CAN","INDPROD","TOT","IDX2015","A","1984",61.33213,
"CAN","INDPROD","TOT","IDX2015","A","1985",64.61735,
"CAN","INDPROD","TOT","IDX2015","A","1986",64.20445,
"CAN","INDPROD","TOT","IDX2015","A","1987",67.0215,
"CAN","INDPROD","TOT","IDX2015","A","1988",71.11409,
"CAN","INDPROD","TOT","IDX2015","A","1989",70.79709,
"CAN","INDPROD","TOT","IDX2015","A","1990",68.81812,
"CAN","INDPROD","TOT","IDX2015","A","1991",66.19145,
"CAN","INDPROD","TOT","IDX2015","A","1992",66.89646,
"CAN","INDPROD","TOT","IDX2015","A","1993",69.92366,
"CAN","INDPROD","TOT","IDX2015","A","1994",74.43285,
"CAN","INDPROD","TOT","IDX2015","A","1995",77.81019,
"CAN","INDPROD","TOT","IDX2015","A","1996",78.73503,
"CAN","INDPROD","TOT","IDX2015","A","1997",82.74313,
